㥤,jiu2
㥤,kaan4
㥥,jyu4
㥦,heui3
㥦,hip3
㥦,tiu4
㥧,seun6
㥨,cheui4
㥩,do2
㥩,seui6
㥪,laau4
㥫,deun1
㥫,seui3
㥬,pong4
㥭,tai3
㥮,jaau3
㥯,jaan2
㥰,sou1
㥱,fei2
㥲,chaan1
㥳,jyun4
㥳,jyun6
㥴,ji4
㥵,waan4
㥵,waan6
㥶,saak1
㥷,aai3
㥸,maan5
㥹,baan1
㥹,faan2
㥺,haap6
㥼,jaan2
㥽,chak3
㥾,nik1
㥿,ngou6
㥿,tim5
㦀,fung4
㦁,lin4
㦂,seung4
㦃,chan2
㦃,jan3
㦄,ma4
㦅,daai3
㦆,fu1
㦇,luk6
㦉,chi2
㦉,ji3
㦊,wa4
㦋,cha1
㦋,ja1
㦌,faat1
㦍,ngok6
㦎,wak6
㦏,seun2
㦏,seun2
㦐,nei6
㦑,haam1
㦒,laai4
㦓,jin6
㦔,jim1
㦕,lung4
㦖,mun6
㦗,gaam1
㦗,gaam3
㦗,kaam4
㦗,naap1
㦘,gik1
㦚,bin2
㦛,jyu5
㦜,wa6
㦜,wok6
㦝,bok6
㦝,miu5
㦞,chaau4
㦟,fat3
㦟,mai4
㦡,lok3
㦡,lok6
㦢,jit3
㦣,at3
㦣,waai6
㦣,wun2
㦤,ji3
㦥,hyun1
㦦,hak1
㦧,cham2
㦨,lan5
㦩,jaan2
㦩,jeun6
㦫,jat3
㦬,lo2
㦭,ling4
㦮,chin4
㦯,wak6
㦰,chim1
㦱,ngo5
㦲,joi1
㦴,gak3
㦵,jyu1
㦶,dit6
㦶,jung5
㦷,jung5
㦸,gik1
㦹,jeung4
㦹,jeung5
㦹,maai5
㦺,juk6
㦻,jap6
㦽,guk1
㦽,juk1
㦾,ji4
㦿,haang6
㦿,him1
㦿,wu6
㧀,gaap6
㧁,heui3
㧂,tin4
㧃,saau1
㧄,kaau4
㧅,muk6
㧆,gaan1
㧇,mou5
㧈,jaan5
㧉,koi3
㧊,put3
㧌,mou6
㧍,fong2
㧎,nga4
㧏,gong1
㧐,sung2
㧑,faai1
㧒,leut6
㧒,waat6
㧓,gwa1
㧔,gwai3
㧔,tim4
㧕,laau5
㧖,aak1
㧖,ak1
㧖,jim1
㧗,ji2
㧘,ji3
㧙,bit1
